,state,division_name,polling_place_name,premises_suburb,latitude,longitude,geom
13,NSW,Banks,Oatley,OATLEY,-33.9847,151.081,POINT (-33.9847 151.081)
15,NSW,Chifley,Dharruk,DHARRUK,-33.7475,150.817,POINT (-33.7475 150.817)
16,NSW,Banks,Allawah,ALLAWAH,-33.9767897,151.1148974,POINT (-33.9767897 151.1148974)
17,NSW,Banks,Allawah South,SOUTH HURSTVILLE,-33.9756,151.111,POINT (-33.9756 151.111)
18,NSW,Banks,Beverly Hills North (Banks),BEVERLY HILLS,-33.9413,151.075,POINT (-33.9413 151.075)
19,NSW,Banks,Beverly Hills South (Banks),BEVERLY HILLS,-33.9528,151.085,POINT (-33.9528 151.085)
20,NSW,Banks,Blakehurst North,BLAKEHURST,-33.9814,151.113,POINT (-33.9814 151.113)
21,NSW,Banks,BLV Banks PPVC,HURSTVILLE,-33.9674459,151.1065776,POINT (-33.9674459 151.1065776)
22,NSW,Banks,Carlton South (Banks),CARLTON,-33.9727,151.128,POINT (-33.9727 151.128)
23,NSW,Banks,Carlton West,CARLTON,-33.9763447,151.1206652,POINT (-33.9763447 151.1206652)
24,NSW,Banks,Connells Point (Banks),CONNELLS POINT,-33.9855,151.1,POINT (-33.9855 151.1)
25,NSW,Banks,Divisional Office (PREPOLL),HURSTVILLE,-33.9676291,151.1064478,POINT (-33.9676291 151.1064478)
26,NSW,Banks,East Hills,EAST HILLS,-33.9611817,150.982054,POINT (-33.9611817 150.982054)
27,NSW,Banks,Hurstville (Banks),HURSTVILLE,-33.9642,151.102,POINT (-33.9642 151.102)
28,NSW,Banks,Hurstville BANKS PPVC,HURSTVILLE,-33.9663791,151.1068363,POINT (-33.9663791 151.1068363)
29,NSW,Banks,Hurstville East (Banks),HURSTVILLE,-33.9641,151.111,POINT (-33.9641 151.111)
30,NSW,Banks,Hurstville Grove,PENSHURST,-33.9729154,151.0909386,POINT (-33.9729154 151.0909386)
31,NSW,Banks,Hurstville South,HURSTVILLE,-33.9726,151.099,POINT (-33.9726 151.099)
32,NSW,Banks,Lugarno,LUGARNO,-33.985015,151.0454806,POINT (-33.985015 151.0454806)
33,NSW,Banks,Mortdale Central,MORTDALE,-33.9748397,151.0781603,POINT (-33.9748397 151.0781603)
34,NSW,Banks,Mortdale East,MORTDALE,-33.9727,151.081,POINT (-33.9727 151.081)
35,NSW,Banks,Mortdale West,MORTDALE,-33.9615619,151.0731878,POINT (-33.9615619 151.0731878)
36,NSW,Banks,Narwee,NARWEE,-33.9482,151.069,POINT (-33.9482 151.069)
37,NSW,Banks,Oatley East,OATLEY,-33.9841934,151.082371,POINT (-33.9841934 151.082371)
38,NSW,Banks,Oatley West,OATLEY,-33.9796,151.065,POINT (-33.9796 151.065)
39,NSW,Banks,Padstow,PADSTOW,-33.9542,151.031,POINT (-33.9542 151.031)
40,NSW,Banks,Padstow Central,PADSTOW,-33.95572,151.031707,POINT (-33.95572 151.031707)
41,NSW,Banks,Padstow East,PADSTOW,-33.949,151.03,POINT (-33.949 151.03)
42,NSW,Banks,Padstow PPVC,PADSTOW,-33.9480237,151.0259414,POINT (-33.9480237 151.0259414)
43,NSW,Banks,Padstow South,PADSTOW HEIGHTS,-33.9664348,151.0305364,POINT (-33.9664348 151.0305364)
44,NSW,Banks,Panania,PANANIA,-33.9551,150.999,POINT (-33.9551 150.999)
45,NSW,Banks,Panania Central,PANANIA,-33.9519,150.998,POINT (-33.9519 150.998)
46,NSW,Banks,Panania North,PANANIA,-33.9451,150.999,POINT (-33.9451 150.999)
47,NSW,Banks,Panania South,PANANIA,-33.9661,151.0,POINT (-33.9661 151)
48,NSW,Banks,Peakhurst East,PEAKHURST,-33.9553,151.061,POINT (-33.9553 151.061)
49,NSW,Banks,Peakhurst South,PEAKHURST HEIGHTS,-33.9728147,151.0555257,POINT (-33.9728147 151.0555257)
50,NSW,Banks,Peakhurst West,PEAKHURST,-33.9616492,151.0489593,POINT (-33.9616492 151.0489593)
51,NSW,Banks,Penshurst,PENSHURST,-33.962239,151.086054,POINT (-33.962239 151.086054)
52,NSW,Banks,Penshurst Central,PENSHURST,-33.9641,151.087,POINT (-33.9641 151.087)
53,NSW,Banks,Picnic Point North,PICNIC POINT,-33.9649,151.01,POINT (-33.9649 151.01)
54,NSW,Banks,Picnic Point South,PICNIC POINT,-33.9804039,150.9967331,POINT (-33.9804039 150.9967331)
55,NSW,Banks,Revesby,REVESBY,-33.9542157,151.0166996,POINT (-33.9542157 151.0166996)
56,NSW,Banks,Revesby North (Banks),REVESBY,-33.9447,151.017,POINT (-33.9447 151.017)
57,NSW,Banks,Revesby South,REVESBY,-33.9605,151.017,POINT (-33.9605 151.017)
58,NSW,Banks,Riverwood East (Banks),RIVERWOOD,-33.9459,151.058,POINT (-33.9459 151.058)
59,NSW,Banks,Riverwood North,RIVERWOOD,-33.9476795,151.047088,POINT (-33.9476795 151.047088)
60,NSW,Banks,Riverwood South,RIVERWOOD,-33.9524734,151.0532173,POINT (-33.9524734 151.0532173)
62,NSW,Banks,Sydney (Banks),SYDNEY,-33.8730501,151.2064528,POINT (-33.8730501 151.2064528)
63,NSW,Banks,Sydney BANKS PPVC,SYDNEY,-33.8638565,151.2092587,POINT (-33.8638565 151.2092587)
64,NSW,Barton,Arncliffe,ARNCLIFFE,-33.938,151.144,POINT (-33.938 151.144)
65,NSW,Barton,Arncliffe Central,ARNCLIFFE,-33.9406,151.147,POINT (-33.9406 151.147)
66,NSW,Barton,Arncliffe North,ARNCLIFFE,-33.939642,151.143493,POINT (-33.939642 151.143493)
67,NSW,Barton,Arncliffe West,ARNCLIFFE,-33.9374,151.138,POINT (-33.9374 151.138)
68,NSW,Barton,Bardwell Park,BARDWELL PARK,-33.9338,151.125,POINT (-33.9338 151.125)
69,NSW,Barton,Belmore BARTON PPVC,BELMORE,-33.913395,151.104419,POINT (-33.913395 151.104419)
70,NSW,Barton,Beverly Hills,BEVERLY HILLS,-33.9492,151.083,POINT (-33.9492 151.083)
71,NSW,Barton,Beverly Hills Central,BEVERLY HILLS,-33.947,151.079,POINT (-33.947 151.079)
72,NSW,Barton,Beverly Hills South (Barton),BEVERLY HILLS,-33.9528,151.085,POINT (-33.9528 151.085)
73,NSW,Barton,Bexley,BEXLEY,-33.9515,151.125,POINT (-33.9515 151.125)
74,NSW,Barton,Bexley East,BEXLEY,-33.9467,151.128,POINT (-33.9467 151.128)
75,NSW,Barton,Bexley North,BEXLEY NORTH,-33.9407,151.121,POINT (-33.9407 151.121)
76,NSW,Barton,Bexley North Park,BEXLEY NORTH,-33.9383,151.109,POINT (-33.9383 151.109)
77,NSW,Barton,Bexley South,BEXLEY,-33.9625,151.113,POINT (-33.9625 151.113)
78,NSW,Barton,Bexley West,BEXLEY,-33.9522,151.114,POINT (-33.9522 151.114)
79,NSW,Barton,BLV Barton PPVC,ROCKDALE,-33.9527866,151.1392016,POINT (-33.9527866 151.1392016)
